DOW,Date,Effective.Date,Pre.Lower,Pre.Upper,Post.Lower,Post.Upper,Pre.One,Pre.Two,Post.One,Post.Two,Season,Application,Weird.Dates,Additional.Stop,N.Type
10000100,09.21.2018,1/1/19,1/1/17,1/1/19,1/1/19,1/1/21,2017,2018,2019,2020,Fall,a,,2027,NA
10000200,05.05.2016,1/1/16,1/1/14,1/1/16,1/1/16,1/1/18,2013,2014,2016,2017,Spring,a,,2020,TKN.mg_L
10000200,6.11.2020,6/11/20,1/1/18,1/1/20,6/12/20,1/1/22,2018,2019,2020,2021,Summer,b,x,2028,TKN.mg_L
10000600,09.18.2018,1/1/19,1/1/17,1/1/19,1/1/19,1/1/21,2016,2017,2019,2020,Fall,a,,2027,TKN.mg_L
10008400,06.01.2011,1/1/11,1/1/09,1/1/11,1/1/11,1/1/13,2009,2010,2011,2012,Spring,a,,2019,TKN.mg_L
19002400,10.xx.1997,1/1/98,1/1/96,1/1/98,1/1/98,1/1/00,1996,1997,1998,1999,Fall,a,,2006,TKN.mg_L
19002500,4.1.2019,1/1/19,1/1/17,1/1/19,1/1/19,1/1/21,2017,2018,2019,2021,Spring,a,,2027,TKN.mg_L
19005000,5.x.2017,1/1/17,1/1/15,1/1/17,1/1/17,1/1/19,2015,2016,2017,2018,Spring,a,,2025,TKN.mg_L
19005500,"5.24.2005, 10.30.2007",1/1/05,1/1/03,1/1/05,1/1/08,1/1/10,2003,2004,2008,2009,Spring/Fall,a,,2016,TKN.mg_L
19005500,09.15.2015,1/1/16,1/1/14,1/1/16,1/1/16,1/1/18,2014,2015,2016,2017,Fall,b,,2024,TKN.mg_L
19005900,05.09.1996,1/1/96,1/1/93,1/1/96,1/1/96,1/1/98,1993,1994,1996,1997,Spring,a,,2004,TKN.mg_L
19005900,10.01.2013,1/1/14,1/1/12,1/1/14,1/1/14,1/1/16,2012,2013,2014,2015,Fall,b,,2020,TKN.mg_L
19005900,10.25.2019,1/1/20,1/1/18,1/1/20,1/1/20,1/1/22,2018,2019,2020,2021,Fall,c,,2028,TKN.mg_L
19006100,09.30.2020,1/1/21,1/1/19,1/1/21,1/1/21,1/1/23,2019,2020,2021,2022,Fall,a,,2029,TKN.mg_L
19006200,09.28.2020,1/1/21,1/1/18,1/1/21,1/1/21,1/1/23,2018,2020,2021,2022,Fall,a,,2029,TKN.mg_L
19006300,10.28.1997,1/1/98,1/1/96,1/1/98,1/1/98,1/1/00,1996,1997,1998,1999,Fall,a,,2006,TKN.mg_L
19006400,10.03.2019,1/1/20,1/1/18,1/1/20,1/1/20,1/1/22,2018,2019,2020,2021,Fall,a,,2028,TKN.mg_L
19006600,3.30.1994,1/1/94,1/1/91,1/1/94,1/1/94,1/1/96,1991,1992,1994,1995,Spring,a,,2002,TKN.mg_L
19006600,9.17.2019,1/1/20,1/1/18,1/1/20,1/1/20,1/1/22,2018,2019,2020,2021,Fall,b,,2028,TKN.mg_L
19006700,09.23.2019,1/1/20,1/1/17,1/1/20,1/1/20,1/1/22,2017,2018,2020,2021,Fall,a,,2028,TKN.mg_L
19006800,09.24.2020,1/1/21,1/1/17,1/1/21,1/1/21,1/1/23,2017,2020,2021,2022,Fall,a,,2029,TKN.mg_L
19007700,10.10.2017,1/1/18,1/1/16,1/1/18,1/1/18,1/1/20,2016,2017,2018,2019,Fall,a,,2026,TKN.mg_L
19013600,10.06.2020,1/1/21,1/1/17,1/1/21,1/1/21,1/1/23,2017,2020,2021,2022,Fall,a,,2029,TKN.mg_L
19015300,7.26.1996,7/26/96,1/1/94,1/1/96,1/1/97,1/1/99,1994,1995,1997,1998,Summer,a,x,2005,TKN.mg_L
19015300,10.01.2019,1/1/20,1/1/15,1/1/20,1/1/20,1/1/22,2015,2018,2020,2021,Fall,b,,2028,TKN.mg_L
27001400,05.01.2003,1/1/03,1/1/01,1/1/03,1/1/03,1/1/05,2001,2002,2003,2004,Spring,a,,2011,TN.mg_L
27001600,05.15.2001,1/1/01,1/1/99,1/1/01,1/1/01,1/1/03,1999,2000,2001,2002,Spring,a,,2009,Both
27003100,10.15.2001,1/1/02,1/1/00,1/1/02,1/1/02,1/1/04,2000,2001,2002,2003,Fall,a,,2010,Both
27003501,10.01.2020,1/1/21,1/1/19,1/1/21,1/1/21,1/1/23,2019,2020,2021,2022,Fall,a,,2023,TKN.mg_L
27003502,05.18.2015,1/1/15,1/1/13,1/1/15,1/1/15,1/1/17,2013,2014,2015,2016,Spring,a,,2023,TKN.mg_L
27003900,10.15.1996,1/1/97,1/1/95,1/1/97,1/1/97,1/1/99,1995,1996,1997,1998,Fall,a,,2005,TN.mg_L
27004000,11.4.1996 with spot treatment  in 4.x.1997,1/1/97,1/1/95,1/1/97,1/1/97,1/1/99,1995,1996,1997,1998,Fall,a,,2005,TN.mg_L
27004800,06.03.2019,1/1/19,1/1/17,1/1/19,1/1/19,1/1/21,2017,2018,2019,2020,Spring,a,,2027,TN.mg_L
27006203,05.01.2012,1/1/12,1/1/10,1/1/12,1/1/12,1/1/14,2010,2011,2012,2013,Spring,a,,2020,Both
27006700,10.15.2008,1/1/09,1/1/07,1/1/09,1/1/09,1/1/11,2007,2008,2009,2010,Fall,a,,2014,Both
27006700,Fall 2013,1/1/14,1/1/12,1/1/14,1/1/14,1/1/17,2012,2013,2015,2016,Fall,b,,2022,Both
27007100,11.14.2012,1/1/13,1/1/10,1/1/12,1/1/12,1/1/15,2010,2011,2013,2014,Fall,a,,2019,TKN.mg_L
27009800,5.xx.2019,1/1/19,1/1/15,1/1/19,1/1/19,1/1/21,2015,2018,2019,2020,Spring,a,,2021,NA
27010000,05.13.2019,1/1/19,1/1/17,1/1/19,1/1/19,1/1/21,2017,2018,2019,2020,Spring,a,,2021,NA
27019200,09.xx.2010 and Spring 2011,1/1/11,1/1/09,1/1/11,1/1/11,1/1/13,2009,2010,2011,2012,Fall and Spring,a,,2019,TN.mg_L
27104501,05.07.2019,1/1/19,1/1/16,1/1/19,1/1/19,1/1/21,2016,2018,2019,2021,Spring,a,,2027,TKN.mg_L
62000200,"04.26.2014, 4.26.16",1/1/14,1/1/12,1/1/14,1/1/16,1/1/18,2012,2013,2016,2017,Spring,a,,2024,TKN.mg_L
62000600,"09.15.2009, 5.x.2010",1/1/10,1/1/08,1/1/10,1/1/10,1/1/12,2008,2009,2010,2011,Fall and Spring,a,,2018,TKN.mg_L
62005400,10.15.2004,1/1/05,1/1/03,1/1/05,1/1/05,1/1/07,2003,2004,2005,2006,Fall,a,,2013,TKN.mg_L
62005500,05.18.2020,1/1/20,1/1/18,1/1/20,1/1/20,1/1/22,2018,2019,2020,2021,Spring,a,,2028,TKN.mg_L
70005400,10.15.2013,1/1/14,1/1/12,1/1/14,1/1/14,1/1/16,2012,2013,2014,2015,Fall,a,,2018,TN.mg_L
70005400,"5.26.2018, 5.14.2020",1/1/18,1/1/16,1/1/18,1/1/20,1/1/23,2016,2017,2021,2022,Spring,b,,2028,TN.mg_L
70007200,05.26.2020,1/1/20,1/1/18,1/1/20,1/1/20,1/1/23,2018,2019,2021,2022,Spring,a,,2028,TN.mg_L
82011800,Fall 2008/Fall 2009,1/1/10,1/1/07,1/1/09,1/1/10,1/1/13,2007,2008,2011,2012,Fall and Fall,a,,2018,TKN.mg_L